"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2021","3","R","전통시장","1001421","개봉중앙시장","HH","정체","147","58","117","55"
"2021","3","R","전통시장","1001420","고척근린시장","HH","정체","135","60","117","55"
"2021","3","R","전통시장","1001419","가리봉시장","HH","정체","137","62","117","55"
"2021","3","R","전통시장","1001418","남구로시장","HH","정체","127","56","117","55"
"2021","3","R","전통시장","1001417","구로시장","HH","정체","119","58","117","55"
"2021","3","R","전통시장","1001416","공항시장","HL","상권축소","159","55","117","55"
"2021","3","R","전통시장","1001415","방신전통시장","HL","상권축소","132","50","117","55"
"2021","3","R","전통시장","1001414","송화골목시장","HH","정체","119","60","117","55"
"2021","3","R","전통시장","1001413","까치산시장","LH","상권확장","110","56","117","55"
"2021","3","R","전통시장","1001412","화곡본동시장","HH","정체","142","56","117","55"
"2021","3","R","전통시장","1001411","남부골목시장","LL","다이나믹","112","55","117","55"
"2021","3","R","전통시장","1001410","대원종합시장","HL","상권축소","143","51","117","55"
"2021","3","R","전통시장","1001409","화곡중앙골목시장","HH","정체","136","58","117","55"
"2021","3","R","전통시장","1001408","신월중앙시장","LL","다이나믹","102","44","117","55"
"2021","3","R","전통시장","1001407","등마루시장","HH","정체","119","67","117","55"
"2021","3","R","전통시장","1001406","신정3동골목시장","LH","상권확장","104","55","117","55"
"2021","3","R","전통시장","1001405","신정2동골목시장","HH","정체","150","64","117","55"
"2021","3","R","전통시장","1001404","신정제일시장","HL","상권축소","130","53","117","55"
"2021","3","R","전통시장","1001403","신월7동골목시장","LH","상권확장","103","57","117","55"
"2021","3","R","전통시장","1001402","신월6동골목시장","HH","정체","122","65","117","55"
"2021","3","R","전통시장","1001401","신곡종합시장","LL","다이나믹","114","51","117","55"
"2021","3","R","전통시장","1001400","신월3동골목시장","HL","상권축소","144","42","117","55"
"2021","3","R","전통시장","1001399","경창시장","HL","상권축소","128","51","117","55"
"2021","3","R","전통시장","1001398","월정로시장","LL","다이나믹","95","53","117","55"
"2021","3","R","전통시장","1001397","신영시장","LL","다이나믹","108","52","117","55"
"2021","3","R","전통시장","1001396","목4동시장","LL","다이나믹","114","49","117","55"
"2021","3","R","전통시장","1001395","목3동시장","HL","상권축소","124","51","117","55"
"2021","3","R","전통시장","1001394","목2동시장","HL","상권축소","132","54","117","55"
"2021","3","R","전통시장","1001393","마포농수산물시장","HH","정체","151","76","117","55"
"2021","3","R","전통시장","1001392","동진시장","LL","다이나믹","109","46","117","55"
"2021","3","R","전통시장","1001391","망원월드컵시장","LL","다이나믹","115","54","117","55"
"2021","3","R","전통시장","1001390","망원시장","LH","상권확장","97","56","117","55"
"2021","3","R","전통시장","1001389","합정시장","HH","정체","131","58","117","55"
"2021","3","R","전통시장","1001388","영진시장","LH","상권확장","104","58","117","55"
"2021","3","R","전통시장","1001387","서교시장","HL","상권축소","130","43","117","55"
"2021","3","R","전통시장","1001386","신수시장","HL","상권축소","161","49","117","55"
"2021","3","R","전통시장","1001385","아현시장","HH","정체","135","65","117","55"
"2021","3","R","전통시장","1001384","마포시장","HH","정체","165","55","117","55"
"2021","3","R","전통시장","1001383","공덕시장","HH","정체","153","59","117","55"
"2021","3","R","전통시장","1001382","백련시장","HH","정체","130","92","117","55"
"2021","3","R","전통시장","1001381","모래내시장","HH","정체","192","122","117","55"
"2021","3","R","전통시장","1001380","포방터시장","LL","다이나믹","110","51","117","55"
"2021","3","R","전통시장","1001379","인왕시장","HH","정체","145","92","117","55"
"2021","3","R","전통시장","1001378","아현가구거리상점가","HH","정체","149","73","117","55"
