상권_코드,면적당_점포수,월_평균_소득_금액,의료_총_매출_비율,면적당_외식_점포수,총_직장_인구_수,외식_총_점포수,남성_매출_비율,연령대_30_생활인구_비율,자동차_총_매출_비율,면적,화요일_매출_비율,남성_생활인구_비율,시간대_1_생활인구_비율,남성_직장_인구_수,여성_매출_비율,const
1000001,335.51359445223585,3528699,0.0185758336727526,21.89832318103171,54800,28.0,0.3868535733308933,0.1920705143265177,0.0036575299273526,1.2786367142600925,0.1314933046632489,0.5071075307406427,0.1814639057589105,0.7424817518248176,0.6131464266691067,1.0
1000002,674.3421052874037,3283059,0.0,37.11974891490295,47092,12.0,0.4012643423500582,0.1906990810083826,0.0068622998007667,0.3232780487688644,0.1163572322440074,0.5011219340841166,0.205036396037139,0.5341034570627707,0.5987356576499419,1.0
1000003,627.1674168908672,2909305,0.0003236666729408,27.567798544653503,158024,32.0,0.5792377831081283,0.1872925646753837,0.0100045944155035,1.1607745880820823,0.1443021038586478,0.5723470641499242,0.1304970541370488,0.6627094618538956,0.4207622168918716,1.0
1000004,634.6076310082974,2951442,0.0646059321416671,64.57410982189693,6784,29.0,0.5498045917666549,0.1089705841580099,0.0078319829045272,0.4490963960631505,0.1607655646360636,0.4680754712688839,0.3072071929035907,0.5642688679245284,0.4501954082333451,1.0
1000005,40.58781981553408,3977676,0.0,5.340502607307116,17008,20.0,0.4818818245041976,0.1176792368784155,0.2063693611011152,3.744965871308648,0.1183950111419678,0.4699716436882761,0.269451234748976,0.58137347130762,0.5181181754958024,1.0
1000006,224.02172079584443,3685394,0.0036706947312614,33.4985750722758,58616,16.0,0.4167553571283779,0.1926631896930977,0.0,0.477632256461021,0.154441449833128,0.4958184674392722,0.1755998332630578,0.7897502388426368,0.583244642871622,1.0
1000007,909.3619206537928,3516391,0.0051701329863401,36.92840286918956,36556,24.0,0.3706370991137908,0.1981097835145566,0.0036958849616361,0.6499062546792106,0.1057536379365767,0.489748179194326,0.165738684766263,0.8012911697122224,0.6293629008862092,1.0
1000008,276.2071052413687,3770249,0.0,18.337401177850204,37736,16.0,0.5004345014912703,0.1886923212362674,0.0088011275700725,0.8725336728372635,0.1076539902447832,0.4998239285231697,0.1951675545309742,0.8136527453890184,0.4995654985087296,1.0
1000009,246.91622706931545,3634164,0.0,14.632072715218692,34744,24.0,0.5031306802083652,0.1904487262185728,0.0020093630032241,1.6402324173141791,0.1090677438335806,0.4954560747143446,0.1940701054085434,0.8415841584158416,0.4968693197916349,1.0
1000010,923.5054036037798,3643593,0.014059514679448,65.18861672497269,7656,30.0,0.5838656979185324,0.1250431924965116,0.0151949921180476,0.4602030462859552,0.1373455607017229,0.4624489742880193,0.2408543549017626,0.5433646812957158,0.4161343020814676,1.0
1000011,771.524096471347,2559306,0.017950468237324,42.0449098894467,33124,20.0,0.5265419325300034,0.155966405770596,0.7203388600615801,0.4756818376490328,0.143333005414355,0.4918185379023359,0.2587179863697614,0.4005554884675764,0.4734580674699966,1.0
1000012,331.73710308906834,3414124,0.0125111027092865,40.03723657971514,8032,21.0,0.4209766078290606,0.1553532241613516,0.0,0.5245117244340396,0.0871993853035356,0.4360766169975884,0.2811376625493141,0.5338645418326693,0.5790233921709393,1.0
1000013,1169.4760675738585,2849757,0.057779577503451,46.16352898317863,65820,18.0,0.5768070124663363,0.1796518678715455,0.0571342702649317,0.3899181972539179,0.1026581463526381,0.5759764999609436,0.1280519255871187,0.7660893345487694,0.4231929875336637,1.0
1000014,307.3583859292322,2778253,0.0,29.744359928635376,42328,12.0,0.74581490985924,0.1666453768776574,0.1031681203546145,0.4034378291814377,0.1745515033901937,0.5284048311637078,0.2008214472454625,0.651011151011151,0.2541850901407599,1.0
1000015,479.2425902136977,2834859,0.0245259004148666,38.47130884742986,45020,35.0,0.5546738483349378,0.1719411059958734,0.0143155794703453,0.9097688913783404,0.1583965663123507,0.4945151015102035,0.2249464569711138,0.6271879164815638,0.4453261516650622,1.0
1000016,1339.373351730547,3537753,0.0256140234569741,71.314388112109,38556,32.0,0.4324294505737666,0.1675873020541063,0.0074351438046508,0.448717304419618,0.1330941393896954,0.4531275101855022,0.2231993359113742,0.6427015250544662,0.5675705494262334,1.0
1000017,3590.193894236736,2353436,0.1076508399545692,29.579352372702253,25476,16.0,0.7235510202871541,0.1835488654344811,0.0156417805329988,0.5409178604858786,0.1755921184781002,0.6062932406095819,0.0733610352523065,0.6457842675459255,0.2764489797128459,1.0
1000018,1159.1455639266962,2649682,0.1011716409842957,99.22646850734364,8788,22.0,0.6815571912628671,0.174557016574016,0.0026125738691612,0.2217150356245098,0.156615049249252,0.4930981154086981,0.219260419070465,0.434228493400091,0.318442808737133,1.0
1000019,295.29834818032225,2543179,0.129143023496799,35.33484508140608,16448,28.0,0.6504287138493644,0.1546670396876775,0.0033166909273292,0.7924189262891144,0.1475068162948049,0.4878448783226172,0.2515224732994795,0.5386673151750972,0.3495712861506356,1.0
1000020,292.5023533299304,2572284,0.1759304957117568,21.56699379391192,7600,16.0,0.5294395336233153,0.1534836737798456,0.0186690531571499,0.7418743730763531,0.1473408803088063,0.4798576712002539,0.246267224820205,0.4268421052631579,0.4705604663766847,1.0
1000021,583.991366523953,3663471,0.0786923498187329,48.86957042041448,23252,20.0,0.4418040507086722,0.1281128340279659,0.1794179049824824,0.409252625467019,0.1532867722699344,0.4518921872717342,0.272625518641648,0.4744538104249097,0.5581959492913278,1.0
