상권_코드,리뷰_수,평균_별점,사장님_댓글_비율,맛있다_비율,친절_비율,분위기_비율,싸다_비율,비싸다_비율,F_유저_언급량,F_버즈_언급량,F_관람환경_매력도,F_먹거리_매력도,F_취향_매력도,F_맛_매력도,F_입소문_매력도,F_포토제닉_매력도,F_제품_단가,D_유저_언급량,D_버즈_언급량,D_관람환경_매력도,D_먹거리_매력도,D_취향_매력도,D_맛_매력도,D_입소문_매력도,D_포토제닉_매력도,D_제품_단가
1000001,1392.0,4.414511494252873,0.08117816091954023,0.9619957674852205,1.0036913485372196,1.3616360810136527,0.6327188305435723,1.0253151487977947,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000002,424.0,4.19811320754717,0.0023584905660377358,0.9209306062400993,0.8237844087050765,0.6049998873222813,0.30773746055788,0.6555756813173942,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000003,6280.0,4.366480891719745,0.06210191082802548,1.020807928563913,1.1732868748551102,1.4606629740085924,0.8518643334933418,1.173788824606673,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000004,1951.0,4.237314197847258,0.015889287544848796,0.9765690646108867,0.6351248908295125,0.8400192068407778,0.8945049404529665,0.9288119123313189,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000005,5527.0,4.425547313189796,0.06549665279536819,1.0013394069667194,1.0291928759897795,1.4834698267084183,0.8823440451349239,1.0803116424175323,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000006,2026.0,4.433366238894373,0.06910167818361303,1.0084406720929124,1.3463703437154186,1.77728532582248,1.432969004394393,1.321854435873701,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000007,6007.0,4.446312635258865,0.04361578158814716,0.9955057935729351,1.2992920443988318,1.5792388651284013,0.9204459720065641,1.0847544030137375,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000008,623.0,4.375601926163724,0.0,0.9659554261731671,0.747532561350353,0.739624141424136,0.785397371247238,0.7550574089799548,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000009,1179.0,4.2692960135708224,0.05258693808312129,1.0198744752955016,1.3931036468549438,1.6116605549250604,0.7193591529241029,1.156143450512766,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
1000010,589.0,4.398132427843803,0.03225806451612903,1.0178154859577981,1.0589515804358247,1.0162080733291063,0.7753521077553377,1.1979645987975682,2.7457692307692296,3.2419230769230776,2.926474358974361,2.9457692307692303,3.326282051282053,-0.3154487179487181,-0.29615384615384605,0.08435897435897435,28156.391025641027,2.2926923076923065,3.345000000000001,2.8439743589743585,2.7546794871794886,3.127692307692308,-0.5010256410256411,-0.5903205128205129,-0.21730769230769229,9324.621794871795
