상권_코드,공시지가,아파트_단지_수,아파트_가격_2억_미만_세대_수,아파트_가격_2~4억_세대_수,아파트_가격_5억_이상_세대수,아파트_평균_시가,아파트_평균_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수
1000151,4144272.338631985,1264.0,6325.0,7111.0,3117.0,202335554.6629747,48.75,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1000152,3777162.727272727,952.0,5982.0,3883.0,307.0,174686012.51680672,51.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000153,3777162.727272727,1337.0,9015.0,3303.0,886.0,164059252.38219896,47.75,23.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000154,3777162.727272727,1174.0,7082.0,6977.0,9670.0,219404972.1890971,55.25,31.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
1000155,2631844.5045045046,323.0,1061.0,2839.0,10828.0,498830127.8266254,99.0,41.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,18.0
1000156,3182513.1642133836,1727.0,10842.0,4794.0,0.0,171522509.81007528,51.75,97.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,29.0
1000157,3182513.1642133836,1469.0,8968.0,4646.0,13.0,175897777.04833218,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
1000158,4144272.338631985,1237.0,6289.0,5714.0,257.0,192609162.8593371,47.5,62.0,4.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1000159,4144272.338631985,1095.0,5715.0,4952.0,1195.0,192173298.5671233,48.75,53.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000160,3777162.727272727,1868.0,12200.0,5226.0,903.0,167507226.44539616,50.0,42.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0
