상권_코드,리뷰_수,평균_별점,사장님_댓글_비율,맛있다_비율,친절_비율,분위기_비율,싸다_비율,비싸다_비율,F_제품_단가,D_제품_단가,맛_매력도_pca,SNS_언급량_pca,입소문_포토제닉_pca
1000001,1392.0,4.414511494252873,0.0811781609195402,0.9619957674852204,1.0036913485372196,1.3616360810136527,0.6327188305435723,1.0253151487977947,28156.391025641027,9324.621794871797,-0.6146904753105172,6.083713987444559,-0.6280192587255874
1000002,424.0,4.19811320754717,0.0023584905660377,0.9209306062400991,0.8237844087050765,0.6049998873222813,0.30773746055788,0.6555756813173942,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000003,6280.0,4.366480891719745,0.0621019108280254,1.020807928563913,1.1732868748551102,1.4606629740085924,0.8518643334933418,1.173788824606673,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000004,1951.0,4.237314197847258,0.0158892875448487,0.9765690646108868,0.6351248908295125,0.8400192068407778,0.8945049404529665,0.9288119123313188,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000005,5527.0,4.425547313189796,0.0654966527953681,1.0013394069667194,1.0291928759897797,1.4834698267084183,0.8823440451349239,1.0803116424175323,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000006,2026.0,4.433366238894373,0.069101678183613,1.0084406720929124,1.3463703437154186,1.77728532582248,1.432969004394393,1.321854435873701,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000007,6007.0,4.446312635258865,0.0436157815881471,0.9955057935729352,1.2992920443988318,1.5792388651284013,0.920445972006564,1.0847544030137375,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000008,623.0,4.375601926163724,0.0,0.9659554261731672,0.747532561350353,0.739624141424136,0.785397371247238,0.7550574089799548,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000009,1179.0,4.2692960135708224,0.0525869380831212,1.0198744752955016,1.3931036468549438,1.6116605549250604,0.7193591529241029,1.156143450512766,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000010,589.0,4.398132427843803,0.032258064516129,1.017815485957798,1.0589515804358247,1.0162080733291063,0.7753521077553377,1.1979645987975682,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000011,701.0,4.567047075606276,0.028530670470756,0.989538661305968,1.2219384789405645,1.5315028584236878,0.7212733918639043,1.1285714132017206,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000012,518.0,4.474903474903475,0.0347490347490347,0.9843896900314336,0.6261306757835606,1.2105188650669754,0.8186529356153641,0.9184290135949356,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000013,1940.0,4.360051546391753,0.0015463917525773,1.0063777758912424,1.2474449617534016,1.5255052523477974,0.8155042704783821,1.2178838945710766,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000014,2520.0,4.469444444444444,0.0083333333333333,0.9848454259990408,0.7111756329572964,0.6880495485155516,0.8608100632827366,0.8251528584689083,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000015,3522.0,4.513912549687677,0.0900056785917092,1.024544143599818,1.2975033247842025,1.189615527068684,0.8937667473158872,1.0760742312874556,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000016,8454.0,4.462502957180033,0.1214809557605867,1.023474952150417,1.2694801065710628,1.3199216846193702,1.1189791267505598,1.207060484952958,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000017,3330.0,4.158108108108108,0.0021021021021021,0.9404912308813832,0.5981242609408202,0.6019987756578864,0.925707550272758,0.9230154256478442,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000018,1736.0,4.450748847926267,0.0391705069124423,0.9228653344044692,0.8574986488243428,0.6020053495628777,1.0052875223639042,0.5788865729038033,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000019,1091.0,4.397341888175985,0.1017415215398716,0.9831866473305092,0.525962128695293,0.5050805319288977,1.4650672503552968,0.6369479580169,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000020,646.0,4.344427244582043,0.0743034055727554,0.9848976310479618,0.7016073314299317,0.5441599720394421,0.4797083943990483,0.6785262945952358,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000021,1695.0,4.500589970501475,0.1533923303834808,0.9953273532540052,0.9591956343079252,0.9500738971283232,0.6254605024317974,0.9145630335237892,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000022,3033.0,4.502802505769865,0.1130893504780745,0.9913136311416668,1.181775532510641,1.0587701194506207,0.9464474223817688,0.9464272218912148,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
1000023,485.0,4.468041237113402,0.0948453608247422,1.01584956672316,0.4543957592641257,0.2448644064763719,0.6725808416316553,0.5951649801523814,28156.391025641027,9324.621794871797,-0.614690475310518,6.0837139874445585,-0.628019258725588
