i1_ind1,i2_ind1,i3_ind1,cluster_y,TRDAR_SE_C,TRDAR_SE_1,상권_코드,상권_도로_명,XCNTS_VALU,YDNTS_VALU,SIGNGU_CD,ADSTRD_CD,STDR_YM_CD,area,perimeter,x,y,geometry,0,1,2,3,4
0.0948241436640273,0.3682373701739769,0.3333650756036022,0,A,골목상권,1000001,계동길,198799,453610,11110,11110600,201810,125350.78085327148,2312.6981671278168,126.9863999318,37.5820414976,"MULTIPOLYGON (((126.9859074256922 37.58549326633629, 126.9862611506815 37.5834853546023, 126.9867821670733 37.5835004606821, 126.9875954963433 37.58357956606913, 126.9876770838011 37.58382969035921, 126.9880855833935 37.58373467750382, 126.9882503607628 37.58343024837231, 126.9877498402615 37.58339280626604, 126.9877519286115 37.58308475684348, 126.9881855418151 37.5830907475952, 126.9884817243438 37.58301554391713, 126.9886084169155 37.58298339074616, 126.988594620077 37.58288247814912, 126.9881447102223 37.58284423169903, 126.9881303881868 37.58248995962518, 126.9876134686516 37.58238809424893, 126.9875960459489 37.58231412085117, 126.98740370633 37.58224886855164, 126.9874024280438 37.5817724230126, 126.9875902752921 37.58161242644239, 126.9875221264487 37.58158034388482, 126.9875571924119 37.58108056639219, 126.9874166966241 37.58107766831937, 126.9877442069517 37.58046268443247, 126.9878374025542 37.58032267963135, 126.9881594814385 37.58036316699976, 126.9881609616567 37.58030964811461, 126.9881665424055 37.58009854581454, 126.9881716671741 37.57990708512796, 126.9878240896706 37.57934491966905, 126.9876992198391 37.57934328493415, 126.9867805271882 37.57932867962597, 126.9867342245854 37.57932822393465, 126.9861053476823 37.57931833075362, 126.9861026446413 37.57985216934803, 126.9859645206854 37.57989161653897, 126.9860633768459 37.58037275897355, 126.9856284429012 37.58025305484231, 126.9856021022223 37.58005852705865, 126.9850181551554 37.58009242186002, 126.9850191676246 37.58012449737002, 126.9850432273816 37.58096098306275, 126.9850489601845 37.58116604995919, 126.9850521146005 37.58124371601536, 126.985057738054 37.58142968182209, 126.9850679723515 37.58177043891024, 126.9850854067829 37.58233995914755, 126.985090581155 37.58250781489212, 126.9851052026206 37.58299165022606, 126.9851144251333 37.58329861984065, 126.9851478330112 37.58496140708959, 126.9855772621902 37.58617023258881, 126.9859074256922 37.58549326633629)))",0,,,,
0.1472916027532846,0.3414991745368354,0.2330052762908387,2,A,골목상권,1000002,난계로27길,201996,452630,11110,11110710,201810,31696.155647277832,959.6707180704735,127.0225892952,37.573212287,"MULTIPOLYGON (((127.023348993374 37.57240107582867, 127.0233514584335 37.57231998578765, 127.0233554882372 37.57217474458747, 127.0224749547631 37.57230429839581, 127.0224509570658 37.57230583465355, 127.0223966176347 37.5719145428126, 127.0219222114485 37.57194103101745, 127.0219321768011 37.5723403501834, 127.0211534670574 37.57228940586491, 127.0211059657305 37.57243888944422, 127.0219363020406 37.57251108797527, 127.0219396371554 37.57307538050789, 127.0219023758235 37.57378519119091, 127.0219014749907 37.57380149936431, 127.0221437276552 37.57380911262833, 127.0221205702561 37.57435692179401, 127.0225266594506 37.57446892874658, 127.023270522952 37.57450833812688, 127.0233315236645 37.57300798950492, 127.0233318625616 37.5730057369506, 127.023348993374 37.57240107582867)))",,,2,,
0.0728542737274438,0.4184010938187772,0.6333757881512643,1,A,골목상권,1000003,돈화문로11가길,198977,452902,11110,11110615,201810,113805.68726348877,1346.5664565035547,126.988419609,37.5756640506,"MULTIPOLYGON (((126.9890874689013 37.57418207512544, 126.987709683254 37.57354016111327, 126.9870476111263 37.5746224553687, 126.9868010816795 37.57512040781524, 126.986163427238 37.57685447890533, 126.9862105170071 37.57687520728563, 126.9868627602489 37.57715107604039, 126.9872725419276 37.57729654141351, 126.9882395400299 37.57736727966246, 126.9892999426418 37.57738765291245, 126.9893203557495 37.57713609715135, 126.9898965917951 37.57701316214937, 126.9903098611146 37.57561899798569, 126.9906798518561 37.5743860165974, 126.9900171808829 37.57428405991355, 126.9890874689013 37.57418207512544)))",,1,,,
0.2427927292760614,0.339242134835064,0.3896776225593426,0,A,골목상권,1000004,명륜길,199558,454351,11110,11110650,201810,44023.14916229248,1384.3488120235006,126.994996398,37.5887214215,"MULTIPOLYGON (((126.9940294980999 37.58999693791082, 126.9941927888537 37.58974773156613, 126.9942995521037 37.58985504496381, 126.9945170610044 37.58981640269466, 126.9943944193296 37.59006425993409, 126.9945203223259 37.59011940657757, 126.9945215513393 37.59034411411968, 126.9948399461644 37.59030340361588, 126.9948814035955 37.59005995729346, 126.9950771783731 37.58994671088159, 126.9951441032877 37.58981435787382, 126.9950262533107 37.58954928100079, 126.9951797916285 37.58946783765475, 126.9953751238084 37.58915574168068, 126.9956047503815 37.58902762932149, 126.9955804074909 37.58902240265602, 126.9957731295654 37.5887655367452, 126.995706332515 37.58867876875147, 126.9967627385416 37.58800188670222, 126.9966762463757 37.58777870841139, 126.9966447742586 37.5876967171849, 126.9965347345703 37.58743227263924, 126.9965069996706 37.58733739728431, 126.9961538599558 37.58736594777651, 126.9959077182018 37.5873266562151, 126.9958102184693 37.58761082590642, 126.9951475403328 37.5874497931225, 126.9950464341484 37.58743654432933, 126.9947032343392 37.58778386212256, 126.9945800429955 37.587859449817, 126.9945615734184 37.58805631586579, 126.9943998760411 37.58826110393194, 126.9948091617016 37.58848528960091, 126.994857161055 37.5885921494221, 126.9947851349017 37.58882135876804, 126.9946057791339 37.58894821045574, 126.9942264843387 37.5888728695377, 126.9940463600916 37.58868383235412, 126.9937164409633 37.58850983358664, 126.9934386830608 37.5887479508091, 126.9935028677206 37.58889995180044, 126.9936379417325 37.58892590774281, 126.9938110461892 37.58910809763105, 126.9934129310612 37.58931764693564, 126.9934295631924 37.58945288682957, 126.9936945956686 37.58977113180647, 126.9937684027431 37.58996097482009, 126.9937085997192 37.59019748213823, 126.9938578065693 37.59050121450237, 126.9940604031754 37.59006649607969, 126.9940294980999 37.58999693791082)))",0,,,,
0.0503349385544424,0.1511701362219996,0.6063674121409932,1,A,골목상권,1000005,백석동길,197153,455283,11110,11110550,201810,367064.0878982544,4821.13464738895,126.9677644513,37.5971093055,"MULTIPOLYGON (((126.9701361548509 37.59994755593959, 126.9730051294181 37.5989498590074, 126.9731046408318 37.59902169070511, 126.974103209419 37.59797162878348, 126.9741671714986 37.59769395733222, 126.9736074342253 37.59770878994712, 126.9733721923703 37.59752547550567, 126.9730729101981 37.59751612739673, 126.9728155786892 37.59767266067307, 126.9726071274712 37.59762188667536, 126.9720808919167 37.59768149908214, 126.971899303463 37.59786516808158, 126.9711038117606 37.59785938985922, 126.970894645211 37.59819315566672, 126.9705186501054 37.59830649712241, 126.9704325445562 37.59841891926573, 126.9702263087464 37.59849085660371, 126.9700416805734 37.59833160476765, 126.9697599738875 37.59825711106527, 126.969731201633 37.59800167271818, 126.9695467559767 37.59767798925922, 126.9695344397648 37.59733488864065, 126.9695378728761 37.59613548991516, 126.9698199338435 37.59559280513886, 126.9698964825473 37.59530567869894, 126.9699183575379 37.59497249760466, 126.9696171047177 37.59454471973019, 126.9692306317798 37.59429468452983, 126.9682395533746 37.59392780848483, 126.9680119907356 37.59385098253652, 126.9674747711314 37.59344421813764, 126.9666426687513 37.59312043974573, 126.9663392296661 37.59282834213708, 126.966333851006 37.59270319282882, 126.9665206105085 37.59260575862523, 126.966416538889 37.59238408504345, 126.9664158610116 37.59238075118037, 126.9660560880789 37.59247669400633, 126.9658436438018 37.59253339521208, 126.965002583434 37.59275749581428, 126.9645688925738 37.59280097443247, 126.9641493310949 37.59289419050056, 126.9639754588667 37.59302721405871, 126.9638505143354 37.59336793096563, 126.9642675007951 37.59345662543237, 126.9644449513188 37.5934193779598, 126.964620098089 37.59370360339393, 126.9642457714076 37.59367042419861, 126.9641490710018 37.59390843688221, 126.9637887887957 37.59386580009053, 126.9637054630617 37.59453917567041, 126.9636676089249 37.59484297838954, 126.9636620383841 37.59488847674883, 126.9636864468087 37.59499119729828, 126.9637777521369 37.59537721012086, 126.9639361304689 37.59615517462019, 126.9638458469443 37.59669610219311, 126.9645273695878 37.59702652228658, 126.9644449682823 37.59742951085965, 126.9648028224981 37.59737519825135, 126.964929158834 37.59745182010909, 126.9649014910613 37.59753263079237, 126.9658220686892 37.59811458082738, 126.9652215773957 37.59882393583827, 126.9649384949036 37.59903315228077, 126.9647341861591 37.599086069677, 126.9642827533767 37.59897565263633, 126.9663838574681 37.60110080604085, 126.9671459947676 37.60029310231134, 126.9692943768185 37.60009284995471, 126.9701361548509 37.59994755593959), (126.9645209947269 37.59518939894856, 126.9647376876601 37.59502575372474, 126.9653300519217 37.59518135025142, 126.9655050261071 37.59511977369803, 126.9655365599189 37.59475515162517, 126.9658862064371 37.59429529697566, 126.9657946878231 37.59410696322914, 126.9659237241526 37.59396392307139, 126.9659226742939 37.59378309372918, 126.9662725321839 37.59384311017018, 126.9663595847407 37.59414451673941, 126.966630146864 37.59428379675695, 126.9668049668648 37.59430727183618, 126.9672884131084 37.59417460063859, 126.9678546206245 37.59432711389348, 126.9675127042337 37.59474481009545, 126.9673542285154 37.5954073555506, 126.9667703234937 37.59582236946864, 126.9663752980469 37.59621536013943, 126.9662630462568 37.59654554143376, 126.9660127433483 37.59666052621208, 126.9656242315211 37.59666050379629, 126.964992213425 37.59652426834108, 126.9647485727477 37.59643481748526, 126.9645118945183 37.59623058192079, 126.9642295137998 37.59617292333027, 126.964361042052 37.59580463783569, 126.9642891347506 37.59557486328347, 126.9644745340666 37.595501037932, 126.9645209947269 37.59518939894856), (126.9639660339093 37.59496155026486, 126.9640781987624 37.59506393709461, 126.9640057960696 37.59516068152727, 126.963835425636 37.59506575504024, 126.9639660339093 37.59496155026486)))",,1,,,
0.0740567367233779,0.3253444757992118,0.3760663085133687,4,A,골목상권,1000006,북촌로11길,198602,453529,11110,11110600,201810,46824.972984313965,1282.0008375471366,126.9841704295,37.5813155236,"MULTIPOLYGON (((126.9833600169242 37.58339172847884, 126.9837181012598 37.58242897683, 126.9838139761779 37.5825098091323, 126.9839409796593 37.58261677440554, 126.9840583018196 37.58246686499131, 126.9850854067829 37.58233995914755, 126.9850679723515 37.58177043891024, 126.985057738054 37.58142968182209, 126.9850521146005 37.58124371601536, 126.9850489601845 37.58116604995919, 126.9850432273816 37.58096098306275, 126.9850191676246 37.58012449737002, 126.9850181551554 37.58009242186002, 126.9850051121997 37.57964624802427, 126.985005399945 37.57934045071141, 126.9838211028088 37.57939786785329, 126.9837992481444 37.57942192139497, 126.9837837222058 37.579496701762, 126.9839095871097 37.57960979372562, 126.9838361909328 37.57977700817125, 126.9838991186943 37.57985639433431, 126.9838151031625 37.57991873162279, 126.9839461988929 37.58045484086541, 126.9837035543654 37.58060590427709, 126.9837158470397 37.58082340586954, 126.9838773516993 37.58104840617433, 126.9840357400765 37.5810266236528, 126.9839929648015 37.58146720377406, 126.9837252762093 37.58171385922896, 126.9835625943684 37.58168932966154, 126.9831690905917 37.58208183711829, 126.9830115056533 37.58204451341084, 126.9828647653861 37.58260581116578, 126.9828534622443 37.58301963581508, 126.9829178947463 37.58345770813943, 126.9832327512852 37.58344189580001, 126.9833600169242 37.58339172847884)))",,,,,4
0.1540563646635746,0.1499553273790978,0.612004413945811,1,A,골목상권,1000007,북촌로5길,198383,453422,11110,11110540,201810,63714.79342651367,1721.9272347150031,126.9816968343,37.5803490949,"MULTIPOLYGON (((126.982152523104 37.5816997566149, 126.982229678883 37.58145713066894, 126.9821831170712 37.58111375495865, 126.982234982444 37.58057758139599, 126.9824655934578 37.5805800485593, 126.9824446980507 37.5803726366798, 126.9825584787505 37.58035733665101, 126.9823509499453 37.57993257730224, 126.9822168828108 37.57956594275741, 126.9824300786381 37.57947371290117, 126.9835410113797 37.57944729370186, 126.9837837222058 37.579496701762, 126.9837992481444 37.57942192139497, 126.9835574577107 37.57930665083433, 126.9831831570771 37.57893737075867, 126.9835114942366 37.57828185377534, 126.9829891620382 37.57824186562166, 126.9829448187319 37.57858838156231, 126.9826336105761 37.57858121833618, 126.9822019969016 37.57837194321846, 126.9821644940924 37.57850168071107, 126.9819068360665 37.57848542360703, 126.9818900473177 37.57862552561491, 126.981518042004 37.57863528879402, 126.9815271975527 37.57869331424589, 126.9816905280134 37.57973822243002, 126.9811013533828 37.57985372709457, 126.980022176259 37.58006573344924, 126.9803036016711 37.5809865963995, 126.9801679842604 37.58180035116823, 126.9803163753531 37.58191984775549, 126.9806393996318 37.58181790870294, 126.9810108295813 37.58146180625747, 126.9811077198164 37.58154038844987, 126.9818199542264 37.58242050071365, 126.981898376438 37.58256593311571, 126.9818769131544 37.58283721895433, 126.9822225697105 37.58278780697649, 126.9822092610581 37.58257481011579, 126.9821795990203 37.58209926126189, 126.9821660606823 37.5819009505322, 126.982152523104 37.5816997566149)))",,1,,,
0.0978018362102375,0.257736526549829,0.3284653731263933,4,A,골목상권,1000008,북촌로5나길,198500,454026,11110,11110540,201810,85534.34606933594,1738.4487961346942,126.9830219053,37.5857868653,"MULTIPOLYGON (((126.9820345872262 37.58816148120264, 126.9823070095927 37.58717043037634, 126.9834573716195 37.58753333688359, 126.9836330277968 37.58730964487233, 126.9836281555895 37.58680950309401, 126.9837788681034 37.58673762467257, 126.9843316015508 37.58678572225494, 126.9853647200028 37.58631589698393, 126.985337354041 37.58614614652022, 126.9850318073139 37.58597852348098, 126.9849653960136 37.5857369588218, 126.9844650427182 37.58537334334422, 126.9837143777598 37.58496986755889, 126.9835136410733 37.5849748852548, 126.9834809874377 37.58467448957651, 126.9834341711013 37.58442292571891, 126.9835419579075 37.58440465063438, 126.9835596722554 37.58416607009738, 126.9836913843355 37.58397850157229, 126.9829489125168 37.58396875602951, 126.9826437921206 37.58397682050005, 126.9825109882045 37.58398076526902, 126.9823373461833 37.58384468942944, 126.9822836494142 37.58350293461802, 126.9822371181953 37.58302441004213, 126.9822225697105 37.58278780697649, 126.9818769131544 37.58283721895433, 126.9818854921523 37.58387624581783, 126.9821333721448 37.58461726042716, 126.9820029746124 37.58543723444575, 126.981888116344 37.58566201463844, 126.9816805887193 37.58611193850542, 126.9816707547632 37.58696950199808, 126.9816572256041 37.58811988740423, 126.9820345872262 37.58816148120264)))",,,,,4
0.0789154134254204,0.2306224192416659,0.2439142335266585,2,A,골목상권,1000009,삼청로5길,198284,453968,11110,11110540,201810,160792.77978515625,2019.0571416818082,126.9805708344,37.5852703317,"MULTIPOLYGON (((126.9796499867699 37.58904307579116, 126.9799913171579 37.58877175520021, 126.9802024777128 37.58877863834892, 126.9809718553367 37.58824799015954, 126.9816845510778 37.58842370635583, 126.9818751215615 37.5883588643056, 126.9816572256041 37.58811988740423, 126.9816707547632 37.58696950199808, 126.9816805887193 37.58611193850542, 126.981888116344 37.58566201463844, 126.9820029746124 37.58543723444575, 126.9821333721448 37.58461726042716, 126.9818854921523 37.58387624581783, 126.9818769131544 37.58283721895433, 126.981898376438 37.58256593311571, 126.9818199542264 37.58242050071365, 126.9811077198164 37.58154038844987, 126.9810108295813 37.58146180625747, 126.9806393996318 37.58181790870294, 126.9803163753531 37.58191984775549, 126.9801679842604 37.58180035116823, 126.9799400373661 37.58282555317886, 126.9792920264144 37.58353290128604, 126.9789529752645 37.58463151248691, 126.9790408449653 37.58498931249632, 126.9794228621724 37.58532995509447, 126.9794490487776 37.58562134080431, 126.9794179499388 37.5859003729155, 126.9790792786706 37.58641892490785, 126.9790404113835 37.58693951168213, 126.9788616519054 37.58728149666634, 126.9793952932934 37.58758964044124, 126.9796814265107 37.58876116065041, 126.9796499867699 37.58904307579116)))",,,2,,
0.2720347824269993,0.4812132190714265,0.3214439917396162,0,A,골목상권,1000010,성균관로5길,199722,453848,11110,11110650,201810,45114.56914520264,1335.5438892152804,126.9968511018,37.5841878281,"MULTIPOLYGON (((126.9981724420164 37.58467770341963, 126.9984046585054 37.58429784791972, 126.9982940474555 37.58423441709445, 126.9978331492638 37.58396248910493, 126.9978839851194 37.58391275553375, 126.9977186939375 37.58375814225115, 126.9977094095932 37.58376426884432, 126.9971561388974 37.58331357975105, 126.9966556255162 37.58303560972756, 126.996910028695 37.58282604634809, 126.9962655025693 37.58270736660325, 126.9960280610483 37.58328768813131, 126.9958170111832 37.58356689870993, 126.9952067409929 37.58414288081985, 126.9947078636693 37.58477328477038, 126.9949061003696 37.58487519557475, 126.9950787680967 37.58471392482009, 126.9953304399272 37.5848923316557, 126.9958598617198 37.58461863021024, 126.9968021812603 37.58440251116073, 126.9970077612723 37.58495338341986, 126.9970005017138 37.58529062484187, 126.9973178761647 37.58465750500685, 126.9976741679127 37.58475968487379, 126.9976994002044 37.58525595276722, 126.9981552143713 37.5854332761245, 126.9986277851527 37.58563213171765, 126.9986982183913 37.58501441125947, 126.9986989006219 37.58486403560104, 126.9981724420164 37.58467770341963)))",0,,,,
