상권_코드,외식업_합계
1000501,2358276158.9999914
1000502,2918608281.9999924
1000503,4946426566.99999
1000504,1920003981.9999838
1000505,4338171272.999971
1000506,839003882.9999971
1000507,3191027.999999957
1000508,1365487229.999992
1000509,764132741.9999948
1000510,971053491.9999988
1000511,540521332.999998
1000512,1352618631.0000002
1000513,759811985.9999988
1000514,242318208.99999964
1000515,1032410971.0000011
1000516,1432933607.999996
1000517,828291473.9999987
1000518,1467194611.9999871
1000519,5551435320.999958
1000520,1292767746.9999943
1000521,1817500078.9999876
1000522,3345704990.9999843
1000523,1329720408.9999986
1000524,377421549.00000006
1000525,176507008.99999902
1000526,563472006.9999951
1000527,143987585.99999946
1000528,1065517901.9999968
1000529,721759850.9999992
1000530,694174224.9999926
1000531,307178209.99999815
1000532,1784403211.999986
1000533,3922292756.999997
1000534,3572233808.9999847
1000535,677515173.9999986
1000536,254944262.99999782
1000537,1834301083.9999952
1000538,400942603.0000003
1000539,1281835860.000001
1000540,1620096847.9999888
1000541,1090788616.9999957
1000542,172030581.99999928
1000543,1671748588.999992
1000544,1852603810.9999883
1000545,817180661.9999985
1000546,103922192.99999902
1000547,611274690.9999954
1000548,46462002.99999979
1000549,944385199.9999971
1000550,293064041.9999989
1000551,2037897561.0000017
1000552,366797107.9999975
1000553,188912054.9999993
1000554,983414964.9999976
1000555,167591565.99999902
1000556,899794494.9999936
1000557,1345937278.0
1000558,1322809260.999994
1000559,2440797427.000002
1000560,759317637.999996
1000561,1154513792.9999971
1000562,143682495.99999928
1000563,5383554244.000003
1000564,1910702519.9999866
1000565,597771273.9999985
1000566,1869316025.9999905
1000567,3691249636.9999914
1000568,681600329.9999985
1000569,1126465461.999992
1000570,413978760.9999988
1000571,138311425.99999994
1000572,84205450.9999995
1000573,2399757619.9999967
1000574,3452849174.999981
1000575,863886449.9999979
1000576,487810305.9999989
1000577,2755450935.0
1000578,2278989188.9999967
1000579,1925296193.999999
1000580,1528316786.999995
1000581,71435532.99999851
1000582,780605432.9999946
1000583,9192264044.99995
1000584,415628603.9999989
1000585,766270074.9999924
1000586,637085332.9999952
1000587,1082709192.9999928
1000588,862018942.9999965
1000589,1059660127.9999988
1000590,1789097154.9999905
1000591,1998467910.9999924
1000592,1455067379.9999962
1000593,694447074.9999986
1000594,1339857393.9999895
1000595,3282182584.999984
1000596,961527002.9999964
1000597,2659512074.9999757
1000598,1909404895.999998
1000599,403053706.999998
1000600,1625495818.9999928
1000601,58817189.99999988
1000602,680679565.9999944
1000603,1316707451.9999943
1000604,3024194466.999974
1000605,2309081532.9999895
1000606,999070179.0000001
1000607,1469274267.9999948
1000608,4691637497.9999895
1000609,294832040.9999993
1000610,154741675.99999994
1000611,581425196.9999975
1000612,46059093.99999949
1000613,1163206108.0000005
1000614,3047664894.9999943
1000615,958928073.0000005
1000616,873805976.9999938
1000617,727966193.9999983
1000618,1248861128.999997
1000619,1271734727.9999995
1000620,4277454573.9999857
1000621,767792062.999991
1000622,802458265.9999927
1000623,657031198.000001
1000624,247960287.99999943
1000625,2187046875.999982
1000626,286608622.9999993
1000627,558394825.9999952
1000628,2411075588.9999876
1000629,245764006.99999976
1000630,768760123.9999981
1000631,286283635.0000002
1000632,784785834.999996
1000633,2101449785.999992
1000634,1384376343.999989
1000635,242590657.99999982
1000636,387071720.99999934
1000637,1822651575.9999986
1000638,1600727852.999997
1000639,1543132939.9999895
1000640,956245269.0000019
1000641,640363496.9999983
1000642,893760012.999994
1000643,2782605952.999998
1000644,15094545747.999939
1000645,1015359566.9999986
1000646,510107034.00000036
1000647,1063287232.9999902
1000648,4932694511.999999
1000649,283046993.9999978
1000650,2002010396.9999986
1000651,34746350.999999866
1000652,770722337.9999994
1000653,3331176886.999981
1000654,423754420.9999975
1000655,1163109585.999995
1000656,1948846514.999989
1000657,219320973.99999905
1000658,294995144.0000002
1000659,1910439589.0000014
1000660,1061125971.9999926
1000661,1010953176.999996
1000662,272862542.99999875
1000663,705442006.0000002
1000664,482729959.999998
1000665,388302768.9999987
1000666,506876386.9999988
1000667,988648137.9999957
1000668,579338829.9999974
1000669,666699142.0000002
1000670,2514171676.999982
1000671,3294992349.999994
1000672,1230199847.9999971
1000673,1234831906.9999936
1000674,864426463.9999919
1000675,709035926.9999955
1000676,908657451.9999989
1000677,619116600.0000002
1000678,806632713.9999926
1000679,4330542610.999973
1000680,1019138836.9999908
1000681,90245119.99999914
1000682,1840489524.000001
1000683,582373309.9999988
1000684,5093718591.999983
1000685,421964098.00000006
1000686,142670578.999999
1000687,1396801457.9999866
1000688,3684707787.9999943
1000689,4849605696.999998
1000690,3104135824.999976
1000691,3694527286.9999933
1000692,543521225.9999987
1000693,5635055989.99997
1000694,1427335388.9999962
1000695,1313424351.9999933
1000696,907471905.9999907
1000697,889400325.9999967
1000698,1896361287.999989
1000699,264579296.99999943
1000700,2816173766.99999
1000701,77665264.99999923
1000702,1342936142.9999983
1000703,1038322679.0000001
1000704,1049370709.9999952
1000705,1072090606.9999934
1000706,781652946.9999988
1000707,3151049368.999978
1000708,2012603446.9999993
1000709,319793520.9999989
1000710,2524955237.9999933
1000711,1143805072.9999897
1000712,2098346676.9999847
1000713,439675093.999996
1000714,753793615.0000001
1000715,170950650.9999993
1000716,62059446.99999962
1000717,721554611.9999993
1000718,1320769741.0000012
1000719,10976202959.999962
1000720,2507233754.000003
1000721,1145097053.9999979
1000722,1743400342.9999855
1000723,876789951.9999988
1000724,392821206.99999565
1000725,1136733259.9999926
1000726,1296892726.9999986
1000727,740835120.9999971
1000728,1403242089.9999924
1000729,312508504.0
1000730,527584973.9999986
1000731,1692298955.9999924
1000732,758109199.9999957
1000733,1061356120.9999895
1000734,245891228.99999964
1000735,237053925.00000015
1000736,7929989.999999855
1000737,561147373.999999
1000738,1005846657.9999955
1000739,2765120154.0000095
1000740,726527910.9999979
1000741,1355805575.9999928
1000742,135719440.99999917
1000743,3517207293.999982
1000744,2547781301.9999948
1000745,1120858615.9999986
1000746,819311196.9999963
1000747,571822715.0
1000748,446491656.9999995
1000749,96731377.99999925
1000750,432471446.9999995
1000751,49649504.99999963
1000752,94081509.99999939
1000753,758097448.9999971
1000754,160079566.9999992
1000755,1732910394.000001
1000756,941027020.9999955
1000757,1621692415.9999962
1000758,1560768031.9999962
1000759,2194434898.9999957
1000760,2772747539.000004
1000761,1893025787.999991
1000762,150568262.9999998
1000763,453390399.99999696
1000764,2829942598.999972
1000765,239985960.9999994
1000766,2294197443.9999814
1000767,79162438.99999945
1000768,2449132208.9999905
1000769,970343280.9999927
1000770,388919776.9999988
1000771,826902374.0000007
1000772,2318428469.9999943
1000773,3977211918.999989
1000774,2146820769.9999967
1000775,2651320773.99999
1000776,683129885.9999986
1000777,943380654.9999962
1000778,2314352906.000003
1000779,2853040638.99999
1000780,2042653383.9999967
1000781,4719560384.999996
1000782,596955628.9999961
1000783,1157879329.999998
1000784,171024534.9999987
1000785,1103552766.9999907
1000786,328541783.9999983
1000787,260096885.99999782
1000788,1631150874.9999948
1000789,141892477.9999986
1000790,744002273.9999938
1000791,1110986526.0
1000792,2976381525.9999833
1000793,1962681481.9999905
1000794,203678268.99999952
1000795,579295261.9999996
1000796,2627221983.999991
1000797,659789834.9999988
1000798,343627979.99999666
1000799,4370894793.000006
1000800,1623306543.9999998
1000801,684059620.9999974
1000802,2118398040.9999876
1000803,334461583.9999995
1000804,2000947099.9999816
1000806,1443440052.999996
1000807,488609060.9999968
1000808,13755405.999999885
1000809,1466625604.9999843
1000810,524563588.9999987
1000811,103659502.99999931
1000812,4342074294.999961
1000813,199934731.99999952
1000814,965047576.9999976
1000815,2812470361.999983
1000816,664024187.9999967
1000817,1571863287.9999948
1000818,728128494.9999993
1000819,717725181.9999937
1000820,2506468967.999986
1000821,2658947106.999976
1000822,178081099.999998
1000823,1341859938.9999893
1000824,1643531720.9999886
1000825,669567811.999994
1000826,370303098.99999857
1000827,1902147006.999994
1000828,1308361188.999988
1000829,3619721033.9999866
1000830,1957150995.99999
1000831,1305839939.9999952
1000832,1399254240.999998
1000833,550611495.0000002
1000834,3210245806.999978
1000835,993022691.9999969
1000836,1237040079.999994
1000837,4939626331.999964
1000838,374428185.99999917
1000839,5466630924.999998
1000840,246635544.99999914
1000841,62076479.99999998
1000842,189563031.0
1000843,170201055.99999827
1000844,2541751024.999977
1000845,3789033304.999989
1000846,9048033036.99995
1000847,9403114421.99995
1000848,3045472847.99999
1000849,9956676882.999935
1000850,3275868875.9999886
1000851,1323594157.9999943
1000852,6949405097.9999695
1000853,819810306.9999934
1000854,891415426.9999974
1000855,5106591398.999977
1000856,626052318.9999994
1000857,1597346102.999999
1000858,2134655595.9999943
1000859,4448865697.999956
1000860,2620328279.9999905
1000861,1948083231.999985
1000862,959580214.9999995
1000863,1995453091.9999814
1000864,3422188383.000003
1000865,1457622014.9999948
1000866,10589172297.999983
1000867,3985664307.9999876
1000868,424703205.0
1000869,204885362.00000027
1000870,2746828222.9999685
1000871,5771701723.999997
1000872,1582554354.999992
1000873,1779814854.9999976
1000874,0.0
1000875,1340554215.9999967
1000876,1110965214.9999979
1000877,568412910.0
1000878,459338672.9999997
1000879,1051239232.0000007
1000880,312397964.9999992
1000881,2024583126.9999819
1000882,2685149293.999978
1000883,1613616655.9999914
1000884,1029739067.9999905
1000885,1398302084.9999924
1000886,1213343597.999996
1000887,833181872.9999964
1000888,1217822546.9999957
1000889,1118155115.9999888
1000890,2089286879.999989
1000891,1441369973.9999866
1000892,2648417318.999989
1000893,2842261024.999985
1000894,11941615246.99999
1000895,872958209.0000001
1000896,2854020261.999977
1000897,298881347.9999976
1000898,2315337200.9999933
1000899,1146175954.9999945
1000900,8058431017.999965
1000901,3384575802.9999685
1000902,2093148736.9999948
1000903,425215660.99999934
1000904,6623822418.999992
1000905,2606961384.999998
1000906,1545136927.9999964
1000907,5145203992.000006
1000908,990817732.9999974
1000909,1469586271.9999952
1000910,4325432992.999947
1000911,5038902421.999998
1000912,2350161109.9999905
1000913,5034965374.999968
1000914,5375512753.000004
1000915,580339161.9999979
1000916,1115851728.9999933
1000917,739800595.9999975
1000918,1701533536.9999924
1000919,1984104524.0
1000920,1253631096.9999976
1000921,2752682248.999976
1000922,1314716395.9999871
1000923,2310364396.9999943
1000924,1978888112.000002
1000925,3969169138.9999933
1000926,3878833561.999987
1000927,13348207382.999943
1000928,1284498545.9999933
1000929,7890853228.0
1000930,26951527251.0
1000931,6338324386.999945
1000932,2078914199.9999926
1000933,1020689332.9999962
1000934,7781547852.999987
1000935,18216077098.999966
1000936,2588320823.999969
1000937,4880480886.999973
1000938,657331334.9999975
1000939,3006472442.999983
1000940,1448073152.9999971
1000941,4262850872.9999914
1000942,1055567311.9999944
1000943,4028703092.999997
1000944,1480966607.9999902
1000945,5338698888.99999
1000946,998006375.9999926
1000947,7083772450.99995
1000948,1151550174.9999895
1000949,2157101832.000002
1000950,1225558966.9999974
1000951,12613091161.999899
1000952,1552057731.9999895
1000953,1815164977.0000014
1000954,6364111166.000003
1000955,3293888523.999991
1000956,1988594232.9999828
1000957,12584247449.000011
1000958,10018832806.999922
1000959,943002001.9999962
1000960,2087987084.9999895
1000961,10025670514.99995
1000962,3800206135.9999704
1000963,5734457707.999961
1000964,2701349197.9999895
1000965,2733702751.999988
1000966,1386128847.0000005
1000967,5976867509.999987
1000968,2507640029.999979
1000969,459152138.9999956
1000970,445004376.9999989
1000971,389543289.99999833
1000972,1223946306.999995
1000973,828231711.9999934
1000974,2024233303.0000005
1000975,561840237.9999981
1000976,733864162.9999989
1000977,1450188730.9999948
1000978,2405910934.999996
1000979,2965447035.999979
1000980,2144036309.9999866
1000981,2959316201.000001
1000982,1710477822.9999967
1000983,5284478468.999977
1000984,2790392140.9999933
1000985,458562648.99999845
1000986,2667798442.9999905
1000987,1514176995.9999936
1000988,1770662062.9999852
1000989,1842428284.999994
1000990,2392599841.9999866
1000991,840496923.9999938
1000992,1564614979.9999871
1000993,4245415272.9999847
1000994,489264869.0000005
1000995,905386836.9999955
1000996,1081336360.000001
1000997,745275027.9999962
1000998,934973296.9999974
1000999,3111687677.9999714
1001000,1518381949.9999862
1001001,1416973075.9999979
1001002,2836066959.000003
1001003,977711713.9999924
1001004,1616006911.9999886
1001005,699953041.9999943
1001006,1181327797.9999988
1001007,1514326862.999988
1001008,3218844426.000005
1001009,600954276.9999968
1001010,259060010.99999833
