시도,행정구역코드,행정기관코드,법정동코드,
서울특별시,1102057,1114057000,1114015800,
서울특별시,1102058,1114058000,1114013600,
서울특별시,1102058,1114058000,1114014300,
서울특별시,1102058,1114058000,1114014400,
서울특별시,1102059,1114059000,1114013200,
서울특별시,1102059,1114059000,1114013300,
서울특별시,1102059,1114059000,1114013400,
서울특별시,1102059,1114059000,1114013500,
서울특별시,1102059,1114059000,1114014500,
서울특별시,1102059,1114059000,1114014600,
서울특별시,1102059,1114059000,1114014700,
서울특별시,1102059,1114059000,1114014800,
서울특별시,1102059,1114059000,1114014900,
서울특별시,1102059,1114059000,1114015400,
서울특별시,1102060,1114060500,1114015000,
서울특별시,1102060,1114060500,1114015100,
서울특별시,1102060,1114060500,1114015200,
서울특별시,1102060,1114060500,1114015300,
서울특별시,1102060,1114060500,1114015500,
서울특별시,1102060,1114060500,1114015600,
서울특별시,1102060,1114060500,1114015700,
서울특별시,1102060,1114060500,1114015900,
서울특별시,1102060,1114060500,1114016000,
서울특별시,1102060,1114060500,1114016100,
서울특별시,1102069,1114061500,1114016200,
서울특별시,1102069,1114061500,1114016300,
서울특별시,1102069,1114061500,1114016400,
서울특별시,1102070,1114062500,1114016200,
서울특별시,1102071,1114063500,1114016200,
서울특별시,1102072,1114064500,1114016200,
서울특별시,1102065,1114065000,1114016200,
서울특별시,1102073,1114066500,1114016200,
서울특별시,1102067,1114067000,1114016500,
서울특별시,1102068,1114068000,1114017100,
서울특별시,1102068,1114068000,1114017200,
서울특별시,1102068,1114068000,1114017300,
서울특별시,1102068,1114068000,1114017400,
서울특별시,11030,1117000000,1117000000,
서울특별시,1103051,1117051000,1117010100,
서울특별시,1103052,1117052000,1117010200,
서울특별시,1103052,1117052000,1117010300,
서울특별시,1103053,1117053000,1117010400,
서울특별시,1103053,1117053000,1117010500,
서울특별시,1103053,1117053000,1117010600,
서울특별시,1103053,1117053000,1117010700,
서울특별시,1103071,1117055500,1117010800,
서울특별시,1103071,1117055500,1117010900,
서울특별시,1103071,1117055500,1117011000,
서울특별시,1103071,1117055500,1117011100,
서울특별시,1103072,1117056000,1117011200,
서울특별시,1103072,1117056000,1117011300,
서울특별시,1103072,1117056000,1117012200,
서울특별시,1103072,1117056000,1117012300,
서울특별시,1103057,1117057000,1117011400,
서울특별시,1103057,1117057000,1117011500,
서울특별시,1103057,1117057000,1117011600,
서울특별시,1103057,1117057000,1117011700,
서울특별시,1103057,1117057000,1117011800,
서울특별시,1103058,1117058000,1117011900,
서울특별시,1103059,1117059000,1117012000,
서울특별시,1103059,1117059000,1117012100,
서울특별시,1103073,1117062500,1117012400,
서울특별시,1103073,1117062500,1117012500,
서울특별시,1103073,1117062500,1117012600,
서울특별시,1103073,1117062500,1117012700,
서울특별시,1103073,1117062500,1117012800,
서울특별시,1103063,1117063000,1117012900,
서울특별시,1103064,1117064000,1117012900,
서울특별시,1103065,1117065000,1117013000,
서울특별시,1103066,1117066000,1117013000,
서울특별시,1103074,1117068500,1117013100,
서울특별시,1103069,1117069000,1117013200,
서울특별시,1103069,1117069000,1117013300,
서울특별시,1103069,1117069000,1117013400,
서울특별시,1103069,1117069000,1117013500,
서울특별시,1103070,1117070000,1117013600,
서울특별시,11040,1120000000,1120000000,
서울특별시,1104052,1120052000,1120010200,
서울특별시,1104071,1120053500,1120010100,
서울특별시,1104071,1120053500,1120010200,
서울특별시,1104071,1120053500,1120010300,
서울특별시,1104071,1120053500,1120010400,
서울특별시,1104054,1120054000,1120010500,
서울특별시,1104055,1120055000,1120010600,
서울특별시,1104055,1120055000,1120010700,
서울특별시,1104056,1120056000,1120010700,
서울특별시,1104057,1120057000,1120010700,
서울특별시,1104058,1120058000,1120010800,
서울특별시,1104059,1120059000,1120010900,
서울특별시,1104072,1120061500,1120011000,
서울특별시,1104072,1120061500,1120011100,
서울특별시,1104062,1120062000,1120011200,
서울특별시,1104073,1120064500,1120011300,
서울특별시,1104065,1120065000,1120011400,
서울특별시,1104066,1120066000,1120011400,
서울특별시,1104067,1120067000,1120011500,
서울특별시,1104068,1120069000,1120011500,
서울특별시,1104069,1120072000,1120011800,
서울특별시,1104070,1120079000,1120011800,
서울특별시,1104070,1120079000,1120012200,
서울특별시,11050,1121500000,1121500000,
서울특별시,1105053,1121571000,1121510700,
서울특별시,1105054,1121573000,1121510900,
서울특별시,1105055,1121574000,1121510100,
서울특별시,1105056,1121575000,1121510100,
서울특별시,1105057,1121576000,1121510100,
서울특별시,1105058,1121577000,1121510100,
서울특별시,1105059,1121578000,1121510200,
서울특별시,1105063,1121581000,1121510400,
서울특별시,1105064,1121582000,1121510500,
서울특별시,1105065,1121583000,1121510500,
서울특별시,1105066,1121584000,1121510500,
서울특별시,1105067,1121584700,1121510500,
서울특별시,1105060,1121585000,1121510300,
서울특별시,1105061,1121586000,1121510300,
서울특별시,1105062,1121587000,1121510300,
서울특별시,11060,1123000000,1123000000,
서울특별시,1106081,1123053600,1123010100,
서울특별시,1106081,1123053600,1123010200,
서울특별시,1106082,1123054500,1123010300,
서울특별시,1106083,1123056000,1123010400,
서울특별시,1106084,1123057000,1123010400,
서울특별시,1106091,1123060000,1123010500,
서울특별시,1106086,1123061000,1123010500,
서울특별시,1106087,1123065000,1123010600,
서울특별시,1106088,1123066000,1123010600,
서울특별시,1106080,1123070500,1123010700,
서울특별시,1106071,1123071000,1123010800,
서울특별시,1106072,1123072000,1123010900,
서울특별시,1106073,1123073000,1123010900,
서울특별시,1106089,1123074000,1123011000,
서울특별시,1106090,1123075000,1123011000,
서울특별시,11070,1126000000,1126000000,
서울특별시,1107052,1126052000,1126010100,
서울특별시,1107054,1126054000,1126010100,
서울특별시,1107055,1126055000,1126010100,
서울특별시,1107071,1126056500,1126010100,
서울특별시,1107057,1126057000,1126010100,
서울특별시,1107072,1126057500,1126010100,
서울특별시,1107059,1126058000,1126010200,
서울특별시,1107060,1126059000,1126010200,
서울특별시,1107061,1126060000,1126010300,
서울특별시,1107062,1126061000,1126010300,
서울특별시,1107064,1126062000,1126010400,
서울특별시,1107065,1126063000,1126010400,
서울특별시,1107073,1126065500,1126010500,
서울특별시,1107068,1126066000,1126010500,
서울특별시,1107069,1126068000,1126010600,
서울특별시,1107070,1126069000,1126010600,
서울특별시,11080,1129000000,1129000000,
서울특별시,1108081,1129052500,1129010100,
서울특별시,1108081,1129052500,1129010200,
서울특별시,1108081,1129052500,1129010400,
서울특별시,1108081,1129052500,1129010700,
서울특별시,1108082,1129055500,1129010300,
서울특별시,1108082,1129055500,1129010500,
서울특별시,1108082,1129055500,1129010600,
서울특별시,1108082,1129055500,1129010800,
서울특별시,1108082,1129055500,1129011100,
서울특별시,1108082,1129055500,1129011200,
서울특별시,1108082,1129055500,1129011300,
서울특별시,1108082,1129055500,1129011400,
서울특별시,1108082,1129055500,1129011500,
서울특별시,1108083,1129057500,1129010300,
서울특별시,1108083,1129057500,1129010900,
서울특별시,1108083,1129057500,1129011000,
서울특별시,1108083,1129057500,1129011600,
서울특별시,1108083,1129057500,1129011700,
서울특별시,1108083,1129057500,1129011800,
서울특별시,1108083,1129057500,1129011900,
서울특별시,1108083,1129057500,1129012000,
서울특별시,1108058,1129058000,1129010300,
서울특별시,1108059,1129059000,1129010300,
서울특별시,1108060,1129060000,1129012100,
서울특별시,1108060,1129060000,1129012200,
서울특별시,1108060,1129060000,1129012300,
서울특별시,1108060,1129060000,1129012400,
서울특별시,1108060,1129060000,1129012500,
서울특별시,1108061,1129061000,1129012600,
서울특별시,1108061,1129061000,1129012700,
서울특별시,1108061,1129061000,1129012800,
서울특별시,1108061,1129061000,1129012900,
서울특별시,1108061,1129061000,1129013000,
서울특별시,1108061,1129061000,1129013100,
서울특별시,1108061,1129061000,1129013200,
서울특별시,1108062,1129062000,1129010300,
서울특별시,1108062,1129062000,1129013300,
서울특별시,1108062,1129062000,1129013400,
서울특별시,1108063,1129063000,1129010300,
서울특별시,1108063,1129063000,1129013300,
서울특별시,1108064,1129064000,1129013300,
서울특별시,1108065,1129065000,1129013300,
서울특별시,1108066,1129066000,1129013400,
서울특별시,1108068,1129068500,1129013400,
서울특별시,1108068,1129068500,1129013600,
서울특별시,1108084,1129070500,1129013500,
서울특별시,1108071,1129071500,1129013600,
서울특별시,1108072,1129072500,1129013600,
서울특별시,1108072,1129072500,1129013700,
서울특별시,1108076,1129076000,1129013800,
서울특별시,1108077,1129077000,1129013800,
서울특별시,1108078,1129078000,1129013800,
서울특별시,1108085,1129081000,1129013900,
서울특별시,11090,1130500000,1130500000,
서울특별시,1109069,1130553400,1130510100,
서울특별시,1109070,1130553500,1130510100,
서울특별시,1109071,1130554500,1130510100,
서울특별시,1109072,1130555500,1130510100,
서울특별시,1109073,1130557500,1130510100,
서울특별시,1109060,1130559500,1130510200,
서울특별시,1109061,1130560300,1130510200,
서울특별시,1109062,1130560800,1130510200,
서울특별시,1109063,1130561500,1130510300,
서울특별시,1109064,1130562500,1130510300,
서울특별시,1109065,1130563500,1130510300,
서울특별시,1109074,1130564500,1130510300,
서울특별시,1109074,1130564500,1130510400,
서울특별시,1109075,1130566000,1130510300,
서울특별시,11100,1132000000,1132000000,
서울특별시,1110059,1132051100,1132010700,
서울특별시,1110060,1132051200,1132010700,
서울특별시,1110061,1132051300,1132010700,
서울특별시,1110062,1132051400,1132010700,
서울특별시,1110063,1132051500,1132010700,
서울특별시,1110064,1132052100,1132010800,
서울특별시,1110065,1132052200,1132010800,
서울특별시,1110051,1132066000,1132010500,
서울특별시,1110052,1132067000,1132010500,
서울특별시,1110053,1132068000,1132010500,
서울특별시,1110054,1132068100,1132010500,
서울특별시,1110055,1132069000,1132010600,
서울특별시,1110056,1132070000,1132010600,
서울특별시,1110057,1132071000,1132010600,
서울특별시,11110,1135000000,1135000000,
서울특별시,1111051,1135056000,1135010200,
서울특별시,1111052,1135057000,1135010200,
서울특별시,1111053,1135058000,1135010200,
서울특별시,1111079,1135059500,1135010300,
서울특별시,1111056,1135060000,1135010300,
서울특별시,1111058,1135061100,1135010400,
서울특별시,1111059,1135061200,1135010400,
서울특별시,1111060,1135061900,1135010600,
서울특별시,1111061,1135062100,1135010600,
서울특별시,1111064,1135062400,1135010600,
서울특별시,1111078,1135062500,1135010600,
