상권_코드,연령대_20_생활인구_비율,의료_총_매출_비율,유통업_총_매출_비율,연령대_50_생활인구_비율,교육_총_매출_비율,면적,면적당_외식_점포수,연령대_30_생활인구_비율,남성_매출_비율,기타_총_매출_비율,시간대_2_생활인구_비율,개폐업,개폐업_비율,점포_pca,성별_pca,주말_매출_pca,생활인구_비율_pca,const
1000001,0.17698911416416874,0.02117738463629477,0.13952524268081856,0.5388904223696123,0.03690701695595508,0.30399215925500467,0.07768576980313198,0.5125980265907788,0.2122261712087335,0.25509612498045936,0.8052425720557927,0.3584905660377359,0.0,-0.010922151043766532,0.2510671620030697,0.17176582098092086,0.669884880844723,1.0
1000002,0.23873114360246384,0.0,0.2561012529924783,0.6303508833896985,0.0,0.055933360732107196,0.1316847982155567,0.5058954126316506,0.23570086642639526,0.1566578910790844,0.5612120044340401,0.169811320754717,0.2857142857142857,-0.07472612915971957,0.2052068177582609,0.27883461673321114,0.24025519600825798,1.0
1000003,0.2986120898569253,0.0003689962855810521,0.08969015609024629,0.6128146243723884,0.6464393853245052,0.2733892679356086,0.09779861380318569,0.4892467257260381,0.525614074602734,0.06211626236299551,0.28549792434605603,0.09433962264150944,0.2857142857142857,0.15495476172314865,0.7509106511102298,0.1332756575582477,0.864628687999819,1.0
1000004,0.6112698506594108,0.0736540119196547,0.41895807931957596,0.19904550195436,0.02813263175369772,0.08860208420666683,0.2290809843929659,0.10646325898325237,0.47766831993097875,0.1248650894293616,0.7003771457670878,0.2641509433962264,0.0,-0.047831469240490636,-0.04798453869961095,-0.04456530938165778,-0.09722115473593085,1.0
1000005,0.10460779691379518,0.0,0.0673953732333917,0.6575792065310746,0.013100625431047255,0.9443743210108531,0.01894579108886547,0.1490251076106167,0.3670242413460067,0.10154186238049752,0.7068240093027329,0.22641509433962265,0.14285714285714285,-0.16701220582040313,-0.033463219563014575,0.38302451487510847,-0.11630726731565014,1.0
1000006,0.18496124901562994,0.004184776606843095,0.28654705998300917,0.5389584332277695,0.0012635545748021129,0.09601141800014136,0.11883844120320203,0.5154946123253827,0.2609352484395783,0.05689700744163842,0.6721616482832928,0.18867924528301888,0.42857142857142855,-0.16974978251086295,0.16457401633591287,0.14895732776259493,0.592443321081665,1.0
1000007,0.18875706528031677,0.005894211630088052,0.04035837947014336,0.5495793001579505,0.0,0.1407423473969735,0.13100598528832283,0.5421137816970688,0.18581003829831827,0.2705200372997888,0.6148460142960612,0.339622641509434,0.0,0.11960887250742498,0.11806338682203567,0.3860985306914525,0.612917257608165,1.0
1000008,0.21344784403794337,0.0,0.0956399105955627,0.527111988539817,0.042696537793443755,0.19854753811887452,0.06505316023119521,0.49608776403267496,0.3972459760198512,0.18750926631520598,0.48222231011279026,0.24528301886792453,0.0,-0.10308787187917631,0.19526753497528454,0.3752632733751195,0.42275416733108223,1.0
1000009,0.20938173169503804,0.0,0.1287938139832983,0.5331273823035108,0.008576765546305383,0.39788045366275837,0.05190825906167001,0.5046718522246485,0.40163796742239016,0.11598596350100106,0.45715404104050217,0.2641509433962264,0.0,-0.03061039118663407,0.16179655809950824,0.4033584944653395,0.4140772030967431,1.0
1000010,0.6518464269026814,0.016028553841060673,0.14322249673109178,0.23625750054987127,0.042297522676427245,0.09148592501891967,0.23126098883532112,0.18501501034053502,0.5331528041128011,0.18901817707019544,0.2754803582353218,0.169811320754717,0.14285714285714285,0.04473154732238318,-0.09109255496510311,0.09601805612208755,-0.012787145970221353,1.0
1000011,0.22605091158421625,0.020464436587898892,0.11249088150450075,0.7130384297144288,0.026251909198036518,0.09550499191683424,0.14915713701285765,0.3361462087817547,0.4397741704371882,0.018336630790726637,0.6402050248225621,0.15094339622641512,0.2857142857142857,0.003226338071447909,0.13392710473507044,0.04008996301155749,0.08603692170672929,1.0
1000012,0.16184711444255717,0.014263286319546847,0.29028272992334314,0.4649957962178728,0.0,0.108183667984183,0.1420347813288025,0.33314940276920213,0.2678115347435281,0.025162229597790683,0.5334683463441285,0.2641509433962264,0.0,-0.12843811387744303,-0.29314979690328674,0.3989794175291166,-0.04368433742968587,1.0
1000013,0.30991704155254646,0.06587162430873919,0.11669135616366685,0.6298793198210659,0.44787330498902067,0.07323646977764046,0.16376821440802505,0.451904304204216,0.5216544247128341,0.056283289164916095,0.24674044841766785,0.22641509433962265,0.14285714285714285,0.08302285933386516,0.7787174216581756,0.35502550624940343,0.8570273183179216,1.0
1000014,0.2705037956206205,0.0,0.08409111369082616,0.7192867068067368,0.4530563826538236,0.07674684109006058,0.10552011125486573,0.3883376058149317,0.7969630411648789,0.01900168780464668,0.7059489420264127,0.24528301886792453,0.0,-0.1537917032071713,0.4142393594469959,-0.2114278188405385,0.6079120565631719,1.0
1000015,0.3292333092668664,0.02796075997380131,0.16315186729611492,0.5812370396846043,0.168738565639822,0.20821565953512586,0.13647954770050222,0.41421945325304343,0.4856001876699611,0.1186354411410688,0.5731732395274247,0.20754716981132076,0.14285714285714285,0.006346840151757427,0.15458667600370454,-0.06527128822188057,0.3480526133657813,1.0
1000016,0.19145412254606164,0.02920127496765198,0.09383743389975154,0.48599765848216636,0.01244657864020561,0.0885036530927601,0.25299257357418803,0.3929410821579927,0.28646785991605955,0.06209390162891065,0.4190604663694093,0.24528301886792453,0.0,0.16624751764010126,-0.1625106237863422,0.1403731244612146,0.14184788197058548,1.0
